安徽组播,#genre#
蚌埠新闻,http://321257.cn:8888/udp/238.1.78.180:7312
蚌埠公共,http://321257.cn:8888/udp/238.1.78.181:7320
五河新闻,http://321257.cn:8888/udp/238.1.79.52:4528
固镇新闻,http://321257.cn:8888/udp/238.1.79.47:4488
阜阳新闻,http://321257.cn:8888/udp/238.1.78.124:6864
阜阳公共,http://321257.cn:8888/udp/238.1.78.125:6872
阜阳教育,http://321257.cn:8888/udp/238.1.78.126:6880
阜阳都市,http://321257.cn:8888/udp/238.1.78.127:6888
颍上新闻,http://321257.cn:8888/udp/238.1.78.194:7424
界首综合,http://321257.cn:8888/udp/238.1.78.195:7432
临泉新闻,http://321257.cn:8888/udp/238.1.78.29:6160
阜南新闻,http://321257.cn:8888/udp/238.1.79.11:4200
亳州综合,http://321257.cn:8888/udp/238.1.78.128:6896
亳州农村,http://321257.cn:8888/udp/238.1.78.129:6904
利辛新闻,http://321257.cn:8888/udp/238.1.78.196:7440
涡阳新闻,http://321257.cn:8888/udp/238.1.78.197:7448
蒙城新闻,http://321257.cn:8888/udp/238.1.79.19:4264
动漫秀场HD,http://321257.cn:8888/udp/238.1.78.154:7104
金鹰纪实HD,http://321257.cn:8888/udp/238.1.79.9:4184
法治天地,http://321257.cn:8888/udp/238.1.78.84:6544
七彩戏剧,http://321257.cn:8888/udp/238.1.78.85:6552
陶瓷HD,http://321257.cn:8888/udp/238.1.78.157:7128
全纪实HD,http://321257.cn:8888/udp/238.1.78.151:7080
茶频道HD,http://321257.cn:8888/udp/238.1.79.30:4352
快乐垂钓HD,http://321257.cn:8888/udp/238.1.79.31:4360
生活时尚HD,http://321257.cn:8888/udp/238.1.78.155:7112
体育赛事HD,http://321257.cn:8888/udp/238.1.78.33:6192
中甲联赛HD,http://321257.cn:8888/udp/238.1.79.39:4424
财富天下,http://321257.cn:8888/udp/238.1.78.25:6128
东方财经浦东,http://321257.cn:8888/udp/238.1.78.73:6456
游戏风云,http://321257.cn:8888/udp/238.1.78.81:6520
CGTN,http://321257.cn:8888/udp/238.1.78.50:6272
家家购物,http://321257.cn:8888/udp/238.1.78.32:6184

精彩频道,#genre#
凤凰资讯,http://60.164.228.34:4040/udp/239.255.30.70:8231
凤凰中文,http://60.164.228.34:4040/udp/239.255.30.50:8231
凤凰香港,http://60.164.228.34:4040/udp/239.255.30.123:8231
法治天地,http://60.164.228.34:4040/udp/239.255.29.24:8231
都市剧场,http://60.164.228.34:4040/udp/239.255.29.41:8231
欢笑剧场,http://60.164.228.34:4040/udp/239.255.29.19:8231
欢笑剧场,http://60.164.228.34:4040/udp/239.255.29.7:8231
经典电影,http://opdf.top:8088/udp/239.81.0.84:4056
热播剧场,http://opdf.top:8088/udp/239.81.0.85:4056
都市剧场,http://opdf.top:8088/udp/239.81.0.81:4056
七彩戏剧,http://opdf.top:8088/udp/239.81.0.70:4056
IPTV相声小品,http://opdf.top:8088/udp/239.81.0.17:4056
IPTV谍战剧场,http://opdf.top:8088/udp/239.81.0.15:4056
IPTV3＋综艺,http://opdf.top:8088/udp/239.81.0.66:4056
IPTV5＋体育,http://opdf.top:8088/udp/239.81.0.12:4056
IPTV6＋电影,http://opdf.top:8088/udp/239.81.0.65:4056
IPTV8＋电视剧,http://opdf.top:8088/udp/239.81.0.67:4056
广西IPTV4,http://opdf.top:8088/udp/239.81.0.251:4056
广西IPTV5,http://opdf.top:8088/udp/239.81.0.205:4056
广西IPTV7,http://opdf.top:8088/udp/239.81.0.253:4056
广西IPTV8,http://opdf.top:8088/udp/239.81.0.208:4056
广西IPTV9,http://opdf.top:8088/udp/239.81.0.209:4056
广西IPTV影院,http://opdf.top:8088/udp/239.81.0.100:4056
广西IPTV12,http://opdf.top:8088/udp/239.81.0.124:4056
广西IPTV13,http://opdf.top:8088/udp/239.81.0.125:4056
剧场1,http://home4.kmo.ink:8888/rtp/239.2.1.67:4120
剧场2,http://home4.kmo.ink:8888/rtp/239.2.1.68:4120
剧场3,http://home4.kmo.ink:8888/rtp/239.2.1.69:4120
剧场4,http://home4.kmo.ink:8888/rtp/239.2.1.70:4120
剧场5,http://home4.kmo.ink:8888/rtp/239.2.1.71:4120
剧场6,http://home4.kmo.ink:8888/rtp/239.2.1.73:4120
剧场7,http://home4.kmo.ink:8888/rtp/239.2.1.76:4120
剧场8,http://home4.kmo.ink:8888/rtp/239.2.1.77:4120
剧场8,http://home4.kmo.ink:8888/rtp/239.2.1.77:4120
剧场9,http://home4.kmo.ink:8888/rtp/239.2.1.79:4120
剧场10,http://home4.kmo.ink:8888/rtp/239.2.1.80:4120
剧场11,http://home4.kmo.ink:8888/rtp/239.2.1.81:4120
武侠剧场,http://home4.kmo.ink:8888/rtp/239.2.1.90:4120
古装剧场,http://home4.kmo.ink:8888/rtp/239.2.1.194:9020
华数,http://home4.kmo.ink:8888/rtp/239.2.1.91:4120
电影轮播, http://home4.kmo.ink:8888/rtp/239.2.1.93:4120
华数电影轮播,http://home4.kmo.ink:8888/rtp/239.2.1.94:4120
北京IPTV4K超清,http://home4.kmo.ink:8888/rtp/239.2.1.249:8002
北京IPTV淘电影,http://home4.kmo.ink:8888/rtp/239.2.1.250:8002
北京IPTV淘精彩,http://home4.kmo.ink:8888/rtp/239.2.1.178:8000
北京IPTV淘剧场,http://home4.kmo.ink:8888/rtp/239.2.1.95:8002
北京IPTV淘娱乐,http://home4.kmo.ink:8888/rtp/239.2.1.100:8002
北京IPTV萌宠,http://home4.kmo.ink:8888/rtp/239.2.1.102:8002
