北京频道,#genre#
北京科教,http://player.cntv.cn/standard/live_HLSDRM20180606.swf?ChannelID=btv3&P2PChannelID=pd://cctv_p2p_hdbtv3
北京青年,http://player.cntv.cn/standard/live_HLSDRM20180919.swf?v=180.171.5.8.9.6.3.9&ChannelID=btv8&videoTVChannel=btv8&P2PChannelID=pd://cctv_p2p_hdbtv8&tai=btv8&VideoName=btv8&channelID=btv8
北京生活,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=btv7&videoTVChannel=btv7&P2PChannelID=pd://cctv_p2p_hdbtv7&tai=btv7&VideoName=btv7&channelID=btv7
北京财经,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=btv5&videoTVChannel=btv5&P2PChannelID=pd://cctv_p2p_hdbtv5&tai=btv5&VideoName=btv5&channelID=btv5
北京卡酷少儿,http://124.64.217.59:8686/rtp/239.3.1.189:8000?
北京财经,http://124.64.217.59:8686/rtp/239.3.1.116:8000?
北京生活,http://124.64.217.59:8686/rtp/239.3.1.117:8000?
北京财经,http://221111.best:8012/rtp/239.3.1.116:8000?
北京生活,http://221111.best:8012/rtp/239.3.1.117:8000?
北京新闻,http://124.64.217.59:8686/rtp/239.3.1.159:8000?
北京新闻,http://221111.best:8012/rtp/239.3.1.159:8000?
北京卡酷少儿,http://223.145.224.117:8000/udp/239.76.252.111:9000
北京卡酷少儿,http://221111.best:8012/rtp/239.3.1.189:8000?
北京卡酷少儿,http://223.145.224.136:8000/udp/239.76.252.111:9000
北京新闻,http://yc.myds.me:35455/bptv/10000100000000050000000003870780.m3u8
