安徽组播,#genre#
重庆卫视,http://114.97.209.133:8888/udp/238.1.78.31:6176
东方卫视,http://114.97.209.133:8888/udp/238.1.78.163:7176
安徽卫视,http://114.97.209.133:8888/udp/238.1.78.150:7072
江苏卫视,http://114.97.209.133:8888/udp/238.1.78.165:7192
浙江卫视,http://114.97.209.133:8888/udp/238.1.78.164:7184
黑龙江卫视,http://114.97.209.133:8888/udp/238.1.78.159:7144
吉林卫视,http://114.97.209.133:8888/udp/238.1.79.48:4496
辽宁卫视,http://114.97.209.133:8888/udp/238.1.78.21:6096
东南卫视,http://114.97.209.133:8888/udp/238.1.78.22:6104
四川卫视,http://114.97.209.133:8888/udp/238.1.78.30:6168
江西卫视,http://114.97.209.133:8888/udp/238.1.78.26:6136
广东卫视,http://114.97.209.133:8888/udp/238.1.78.161:7160
海南卫视,http://114.97.209.133:8888/udp/238.1.79.49:4504
湖北卫视,http://114.97.209.133:8888/udp/238.1.78.168:7216
湖南卫视,http://114.97.209.133:8888/udp/238.1.78.160:7152
贵州卫视,http://114.97.209.133:8888/udp/238.1.78.244:7824
河北卫视,http://114.97.209.133:8888/udp/238.1.78.245:7832
河南卫视,http://114.97.209.133:8888/udp/238.1.79.65:4632
山东卫视,http://114.97.209.133:8888/udp/238.1.78.169:7224
甘肃卫视,http://114.97.209.133:8888/udp/238.1.79.36:4400
陕西卫视,http://114.97.209.133:8888/udp/238.1.78.88:6576
云南卫视,http://114.97.209.133:8888/udp/238.1.78.89:6584
山西卫视,http://114.97.209.133:8888/udp/238.1.78.95:6632
青海卫视,http://114.97.209.133:8888/udp/238.1.78.102:6688
广西卫视,http://114.97.209.133:8888/udp/238.1.78.70:6432
内蒙古卫视,http://114.97.209.133:8888/udp/238.1.78.103:6696
宁夏卫视,http://114.97.209.133:8888/udp/238.1.78.109:6744
新疆卫视,http://114.97.209.133:8888/udp/238.1.78.110:6752
西藏卫视,http://114.97.209.133:8888/udp/238.1.78.101:6680
深圳卫视,http://114.97.209.133:8888/udp/238.1.78.156:7120
兵团卫视,http://114.97.209.133:8888/udp/238.1.78.104:6704
三沙卫视,http://114.97.209.133:8888/udp/238.1.78.27:6144
厦门卫视,http://114.97.209.133:8888/udp/238.1.78.246:7840
山东教育卫视,http://114.97.209.133:8888/udp/238.1.78.254:7904
安徽经济生活,http://114.97.209.133:8888/udp/238.1.79.44:4464
安徽影视频道,http://114.97.209.133:8888/udp/238.1.79.42:4448
安徽公共频道,http://114.97.209.133:8888/udp/238.1.79.43:4456
安徽综艺体育,http://114.97.209.133:8888/udp/238.1.79.41:4440
安徽农业科教,http://114.97.209.133:8888/udp/238.1.79.40:4432
安徽人物频道,http://114.97.209.133:8888/udp/238.1.79.45:4472
安徽国际频道,http://114.97.209.133:8888/udp/238.1.78.61:6360
安徽导视频道,http://114.97.209.133:8888/udp/238.1.79.66:4664
海豚生活,http://114.97.209.133:8888/udp/238.1.79.50:4512
海豚少儿,http://114.97.209.133:8888/udp/238.1.79.32:4368
海豚健康,http://114.97.209.133:8888/udp/238.1.79.33:4376
海豚影视,http://114.97.209.133:8888/udp/238.1.79.34:4384
家家购物,http://114.97.209.133:8888/udp/238.1.78.32:6184
陶瓷,http://114.97.209.133:8888/udp/238.1.78.157:7128
全纪实,http://114.97.209.133:8888/udp/238.1.78.151:7080
纪实人文,http://114.97.209.133:8888/udp/238.1.78.153:7096
动漫秀场,http://114.97.209.133:8888/udp/238.1.78.154:7104
金鹰纪实,http://114.97.209.133:8888/udp/238.1.79.9:4184
茶频道,http://114.97.209.133:8888/udp/238.1.79.30:4352
