更新时间: 2025-11-28 18:46:29（北京时间）

更新时间,#genre#
2025-11-28 18:46:29,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
风云剧场,http://116.235.252.22:8888/rtp/233.18.204.183:5140$上海市电信
风云剧场,http://58.38.126.237:4022/rtp/239.45.0.50:5140$上海市电信
风云剧场,http://58.38.126.237:4022/rtp/233.18.204.183:5140$上海市电信
怀旧剧场,http://116.235.252.22:8888/rtp/239.45.0.49:5140$上海市电信
怀旧剧场,http://116.235.252.22:8888/rtp/233.18.204.182:5140$上海市电信
怀旧剧场,http://58.38.126.237:4022/rtp/239.45.0.49:5140$上海市电信
怀旧剧场,http://58.38.126.237:4022/rtp/233.18.204.182:5140$上海市电信
第一剧场,http://116.235.252.22:8888/rtp/239.45.0.51:5140$上海市电信
第一剧场,http://116.235.252.22:8888/rtp/233.18.204.184:5140$上海市电信
第一剧场,http://58.38.126.237:4022/rtp/239.45.0.51:5140$上海市电信
第一剧场,http://58.38.126.237:4022/rtp/233.18.204.184:5140$上海市电信
女性时尚,http://116.235.252.22:8888/rtp/239.45.0.47:5140$上海市电信
女性时尚,http://116.235.252.22:8888/rtp/233.18.204.180:5140$上海市电信
女性时尚,http://58.38.126.237:4022/rtp/239.45.0.47:5140$上海市电信
女性时尚,http://58.38.126.237:4022/rtp/233.18.204.180:5140$上海市电信
世界地理,http://116.235.252.22:8888/rtp/239.45.0.46:5140$上海市电信
世界地理,http://116.235.252.22:8888/rtp/233.18.204.179:5140$上海市电信
世界地理,http://58.38.126.237:4022/rtp/239.45.0.46:5140$上海市电信
世界地理,http://58.38.126.237:4022/rtp/233.18.204.179:5140$上海市电信
央视台球,http://116.235.252.22:8888/rtp/239.45.0.44:5140$上海市电信
央视台球,http://116.235.252.22:8888/rtp/233.18.204.177:5140$上海市电信
央视台球,http://58.38.126.237:4022/rtp/239.45.0.44:5140$上海市电信
央视台球,http://58.38.126.237:4022/rtp/233.18.204.177:5140$上海市电信
高尔夫网球,http://116.235.252.22:8888/rtp/239.45.1.72:5140$上海市电信
高尔夫网球,http://116.235.252.22:8888/rtp/239.45.0.48:5140$上海市电信
高尔夫网球,http://116.235.252.22:8888/rtp/233.18.204.181:5140$上海市电信
高尔夫网球,http://58.38.126.237:4022/rtp/239.45.1.72:5140$上海市电信
高尔夫网球,http://58.38.126.237:4022/rtp/239.45.0.48:5140$上海市电信
高尔夫网球,http://58.38.126.237:4022/rtp/233.18.204.181:5140$上海市电信
央视文化精品,http://116.235.252.22:8888/rtp/239.45.1.17:5140$上海市电信
央视文化精品,http://116.235.252.22:8888/rtp/239.45.0.53:5140$上海市电信
央视文化精品,http://116.235.252.22:8888/rtp/233.18.204.186:5140$上海市电信
央视文化精品,http://58.38.126.237:4022/rtp/239.45.1.17:5140$上海市电信
央视文化精品,http://58.38.126.237:4022/rtp/239.45.0.53:5140$上海市电信
央视文化精品,http://58.38.126.237:4022/rtp/233.18.204.186:5140$上海市电信
电视指南,http://116.235.252.22:8888/rtp/239.45.1.73:5140$上海市电信
电视指南,http://58.38.126.237:4022/rtp/239.45.1.73:5140$上海市电信

卫视频道,#genre#
湖南卫视,http://123.113.182.104:8001/rtp/239.3.1.132:8012$北京市联通
湖南卫视,http://123.113.182.104:8001/rtp/239.3.1.112:3002$北京市联通
湖南卫视,http://116.235.252.22:8888/rtp/239.45.3.228:5140$上海市电信
湖南卫视,http://116.235.252.22:8888/rtp/233.18.204.86:5140$上海市电信
湖南卫视,http://116.235.252.22:8888/rtp/233.18.204.210:5140$上海市电信
湖南卫视,http://58.38.126.237:4022/rtp/239.45.3.228:5140$上海市电信
湖南卫视,http://58.38.126.237:4022/rtp/233.18.204.86:5140$上海市电信
湖南卫视,http://58.38.126.237:4022/rtp/233.18.204.210:5140$上海市电信
浙江卫视,http://123.113.182.104:8001/rtp/239.3.1.137:8036$北京市联通
浙江卫视,http://123.113.182.104:8001/rtp/239.3.1.114:3004$北京市联通
浙江卫视,http://116.235.252.22:8888/rtp/239.45.3.178:5140$上海市电信
浙江卫视,http://116.235.252.22:8888/rtp/233.18.204.84:5140$上海市电信
浙江卫视,http://116.235.252.22:8888/rtp/233.18.204.216:5140$上海市电信
浙江卫视,http://58.38.126.237:4022/rtp/239.45.3.178:5140$上海市电信
浙江卫视,http://58.38.126.237:4022/rtp/233.18.204.84:5140$上海市电信
浙江卫视,http://58.38.126.237:4022/rtp/233.18.204.216:5140$上海市电信
