上海都市,rtp://233.18.204.53:5140
东方影视,rtp://239.45.3.237:5140
东方影视,rtp://233.18.204.55:5140
上海教育,rtp://239.45.0.13:5140
上海教育,rtp://233.18.204.63:5140
东方财经,rtp://239.45.0.17:5140
东方财经,rtp://233.18.204.65:5140
第一财经,rtp://239.45.3.211:5140
第一财经,rtp://233.18.204.59:5140
东方购物,rtp://233.18.204.61:5140
东方购物,rtp://233.18.204.62:5140
五星体育,rtp://239.45.3.210:5140
五星体育,rtp://233.18.204.58:5140
都市剧场,rtp://239.45.3.136:5140
都市剧场,rtp://233.18.204.48:5140
欢笑剧场,rtp://239.45.3.196:5140
欢笑剧场,rtp://233.18.204.50:5140
央广购物,rtp://239.45.0.35:5140
央广购物,rtp://233.18.204.39:5140
东方购物-1HD,rtp://239.45.3.74:5140
东方购物-2HD,rtp://239.45.3.75:5140
东方购物-3HD,rtp://239.45.3.207:5140
东方购物-4HD,rtp://239.45.3.208:5140
海南卫视,rtp://233.18.204.102:5140
海南卫视,rtp://239.45.1.81:5140
百事通健康,rtp://239.45.1.28:5140
百事通宣传,rtp://233.18.204.158:5140
百事通宣传,rtp://233.18.204.159:5140
百事通宣传,rtp://233.18.204.160:5140
百事通宣传,rtp://233.18.204.161:5140
百事通宣传,rtp://233.18.204.162:5140
百事通宣传,rtp://233.18.204.163:5140
百事通宣传,rtp://233.18.204.164:5140
百事通宣传,rtp://233.18.204.165:5140
百事通宣传,rtp://233.18.204.166:5140
百事通宣传,rtp://233.18.204.167:5140
百事通宣传,rtp://239.45.3.53:5140
百事通宣传,rtp://239.45.3.54:5140
百事通宣传,rtp://239.45.3.55:5140
百事通宣传,rtp://239.45.3.137:5140
百事通宣传,rtp://239.45.3.138:5140
百事通宣传,rtp://239.45.3.140:5140
百事通宣传,rtp://239.45.3.157:5140
百事通画面,rtp://239.45.3.215:5140
百事通画面,rtp://239.45.3.216:5140
百事通纪录,rtp://239.45.1.29:5140
百事通超级体育,rtp://239.45.3.139:5140
百事通预告,rtp://233.18.204.116:5140
百事通预告,rtp://239.45.1.15:5140
百事通预告,rtp://239.45.3.240:5140
嘉定频道,rtp://239.45.3.185:5140
静止画面,rtp://233.18.204.202:5140
静止画面,rtp://239.45.1.8:5140
CETV2,rtp://239.45.1.52:5140
CETV2,rtp://233.18.204.154:5140
CCTV4K,rtp://239.45.0.55:5140
CCTV4K,rtp://233.18.204.188:5140
CCTV16 4K,rtp://239.45.0.12:5140
北京卫视4K,rtp://239.45.3.123:5140
北京卫视4K,rtp://233.18.204.209:5140
东方卫视4K,rtp://233.18.204.224:5140
广东卫视4K,rtp://233.18.204.218:5140
深圳卫视4K,rtp://233.18.204.219:5140
湖南卫视4K,rtp://233.18.204.210:5140
山东卫视4K,rtp://239.45.3.180:5140
四川卫视4K,rtp://239.45.3.48:5140
浙江卫视4K,rtp://233.18.204.216:5140
欢笑剧场4K,rtp://239.45.1.4:5140
欢笑剧场4K,rtp://233.18.204.115:5140
欢笑剧场4K,rtp://233.18.204.205:5140
百事通电影4K,rtp://239.45.3.107:5140
百事通电影4K,rtp://239.45.1.9:5140
百事通纪录4K,rtp://239.45.1.10:5140
百事通纪录4K,rtp://233.18.204.170:5140
百事通动画4K,rtp://239.45.1.1:5140
百事通动画4K,rtp://239.45.1.11:5140
4K宣传,rtp://239.45.0.33:5140
4K测试,rtp://239.45.1.109:5140
4K测试,rtp://233.18.204.201:5140
百事通4K,rtp://233.18.204.169:5140
百事通4K,rtp://239.45.1.42:5140
百事通卡通4K,rtp://233.18.204.171:5140
