央视,#genre#
CCTV14,http://60.220.167.243:8085/rtp/226.0.2.31:8160
CCTV15,http://60.220.167.243:8085/rtp/226.0.2.32:8168
CCTV17,http://60.220.167.243:8085/rtp/226.0.2.207:9568
CETV1,http://60.220.167.243:8085/rtp/226.0.2.68:8456
CETV2,http://60.220.167.243:8085/rtp/226.0.2.69:8464
CETV4,http://60.220.167.243:8085/rtp/226.0.2.70:8472
CETV早期教育,http://60.220.167.243:8085/rtp/226.0.2.99:8704
CETV1,http://60.220.167.243:8085/rtp/226.0.2.181:9360
CCTV央视台球,http://60.220.167.243:8085/rtp/226.0.2.216:9640
CCTV高网,http://60.220.167.243:8085/rtp/226.0.2.217:9648
CCTV电视指南,http://60.220.167.243:8085/rtp/226.0.2.218:9656
CCTV央视文化精品,http://60.220.167.243:8085/rtp/226.0.2.219:9664
CCTV风云音乐,http://60.220.167.243:8085/rtp/226.0.2.220:9672
CCTV第一剧场,http://60.220.167.243:8085/rtp/226.0.2.221:9680
CCTV世界地理,http://60.220.167.243:8085/rtp/226.0.2.222:9688
CCTV兵器科技,http://60.220.167.243:8085/rtp/226.0.2.223:9696
CCTV怀旧剧场,http://60.220.167.243:8085/rtp/226.0.2.224:9704
CCTV风云足球,http://60.220.167.243:8085/rtp/226.0.2.225:9712
CCTV女性时尚,http://60.220.167.243:8085/rtp/226.0.2.226:9720
CCTV风云剧场,http://60.220.167.243:8085/rtp/226.0.2.227:9728
CCTV1,http://123.13.247.39:4000/rtp/225.1.4.73:1102
CCTV2,http://123.13.247.39:4000/rtp/225.1.4.74:1103
CCTV3,http://123.13.247.39:4000/rtp/225.1.4.158:1194
CCTV4,http://123.13.247.39:4000/rtp/225.1.5.30:1333
CCTV5,http://123.13.247.39:4000/rtp/225.1.4.159:1195
CCTV6,http://123.13.247.39:4000/rtp/225.1.4.160:1196
CCTV7,http://123.13.247.39:4000/rtp/225.1.4.76:1105
CCTV8,http://123.13.247.39:4000/rtp/225.1.4.161:1197
CCTV9,http://123.13.247.39:4000/rtp/225.1.4.77:1106
CCTV10,http://123.13.247.39:4000/rtp/225.1.4.78:1107
CCTV11,http://123.13.247.39:4000/rtp/225.1.4.215:1268
CCTV12,http://123.13.247.39:4000/rtp/225.1.4.79:1108
CCTV13,http://123.13.247.39:4000/rtp/225.1.4.113:1293
CCTV14,http://123.13.247.39:4000/rtp/225.1.4.80:1109
CCTV15,http://123.13.247.39:4000/rtp/225.1.4.216:1269
CCTV16,http://123.13.247.39:4000/rtp/225.1.5.46:1356
CCTV17,http://123.13.247.39:4000/rtp/225.1.4.226:2506
CCTV5,http://123.13.247.39:4000/rtp/225.1.4.75:1104
CCTV1,http://123.13.247.39:4000/rtp/225.1.4.1:1030
CCTV2,http://123.13.247.39:4000/rtp/225.1.4.2:1031
CCTV4,http://123.13.247.39:4000/rtp/225.1.4.4:1033
CCTV7,http://123.13.247.39:4000/rtp/225.1.4.7:1036
CCTV9,http://123.13.247.39:4000/rtp/225.1.4.9:1038
CCTV10,http://123.13.247.39:4000/rtp/225.1.4.10:1039
