黟县新闻综合,udp://238.1.78.149:7064
宣城综合频道,udp://238.1.78.142:7008
宣城文旅生活,udp://238.1.78.143:7016
广德新闻综合,udp://238.1.78.212:7568
广德生活频道,udp://238.1.78.213:7576
郎溪新闻频道,udp://238.1.78.214:7584
宁国新闻综合,udp://238.1.78.216:7600
铜陵新闻综合,udp://238.1.78.139:6984
铜陵教育科技,udp://238.1.78.141:7000
枞阳电视台,udp://238.1.78.210:7552
霍山综合频道,udp://238.1.78.220:7632
金寨综合频道,udp://238.1.79.21:4280
濉溪新闻频道,udp://238.1.78.209:7544
宿州新闻综合,udp://238.1.78.121:6840
宿州公共频道,udp://238.1.78.122:6848
宿州科教频道,udp://238.1.78.123:6856
萧县新闻综合,udp://238.1.79.46:4480
五河新闻综合,udp://238.1.79.52:4528
固镇新闻综合,udp://238.1.79.47:4488
界首综合频道,udp://238.1.78.195:7432
利辛新闻综合,udp://238.1.78.196:7440
涡阳新闻综合,udp://238.1.78.197:7448

IPTV3,udp://238.1.78.247:7848
IPTV5,udp://238.1.78.238:7776
IPTV6,udp://238.1.78.248:7856
IPTV8,udp://238.1.78.249:7864
IPTV相声小品,udp://238.1.78.3:7928
IPTV野外,udp://238.1.78.4:7936
IPTV法治,udp://238.1.78.5:7944
IPTV少儿动画,udp://238.1.78.6:7952
IPTV 魅力时尚,udp://238.1.78.7:7960
IPTV收视指南,udp://238.1.78.8:7968
IPTV热播剧场,udp://238.1.78.9:7976
IPTV经典电影,udp://238.1.78.10:7984
IPTV谍战剧场,udp://238.1.78.2:7920
爱上4K,udp://238.1.78.23:6112
都市剧场,udp://238.1.78.74:6464
军旅剧场,udp://238.1.78.11:7992
古装剧场,udp://238.1.78.12:4000
动作影院,udp://238.1.78.13:4008
家庭影院,udp://238.1.78.14:4016
音乐现场,udp://238.1.78.15:4024
武侠剧场,udp://238.1.78.16:40320
乐游,udp://238.1.78.83:6536
足球频道,udp://238.1.78.250:7872
台球,udp://238.1.78.251:7880
高网,udp://238.1.78.252:7888
金色频道,udp://238.1.78.76:6480
生活时尚,udp://238.1.78.78:6496
动漫秀场,udp://238.1.78.79:6504
法治天地,udp://238.1.78.84:6544
空中课堂,udp://238.1.78.107:6728
好学生,udp://238.1.78.18:4048
哈哈炫动,udp://238.1.78.82:6528
卡酷卡通,udp://238.1.78.97:6648
金鹰卡通,udp://238.1.78.100:6672
上海纪实人文,udp://238.1.78.153:7096
上海动漫秀场,udp://238.1.78.154:7104
上海生活时尚,udp://238.1.78.155:7112
上海东方财经,udp://238.1.78.73:6456
上海乐游纪实,udp://238.1.78.151:7080
湖南金鹰纪实,udp://238.1.79.9:4184
湖南茶频道,udp://238.1.79.30:4352
湖南快乐垂钓,udp://238.1.79.31:4360
