
安徽电信-组播1,#genre#
山东卫视,http://114.107.2.156:2000/rtp/238.1.78.169:7224
东南卫视,http://114.107.2.156:2000/rtp/238.1.78.22:6104
四川卫视,http://114.107.2.156:2000/rtp/238.1.78.30:6168
江西卫视,http://114.107.2.156:2000/rtp/238.1.78.26:6136
重庆卫视,http://114.107.2.156:2000/rtp/238.1.78.31:6176
广东卫视,http://114.107.2.156:2000/rtp/238.1.78.161:7160
黑龙江卫视,http://114.107.2.156:2000/rtp/238.1.78.159:7144
吉林卫视,http://114.107.2.156:2000/rtp/238.1.79.48:4496
辽宁卫视,http://114.107.2.156:2000/rtp/238.1.78.21:6096
海南卫视,http://114.107.2.156:2000/rtp/238.1.79.49:4504
贵州卫视,http://114.107.2.156:2000/rtp/238.1.78.244:7824
甘肃卫视,http://114.107.2.156:2000/rtp/238.1.79.36:4400
CETV-1,http://114.107.2.156:2000/rtp/238.1.78.158:7136
上海纪实人文,http://114.107.2.156:2000/rtp/238.1.78.153:7096
上海动漫秀场,http://114.107.2.156:2000/rtp/238.1.78.154:7104
上海生活时尚,http://114.107.2.156:2000/rtp/238.1.78.155:7112
上海东方财经,http://114.107.2.156:2000/rtp/238.1.78.73:6456
上海乐游纪实,http://114.107.2.156:2000/rtp/238.1.78.151:7080
湖南金鹰纪实,http://114.107.2.156:2000/rtp/238.1.79.9:4184
湖南茶频道,http://114.107.2.156:2000/rtp/238.1.79.30:4352
湖南快乐垂钓,http://114.107.2.156:2000/rtp/238.1.79.31:4360
芜湖新闻综合,http://114.107.2.156:2000/rtp/238.1.78.112:6768
芜湖生活频道,http://114.107.2.156:2000/rtp/238.1.78.80:6512
无为新闻频道,http://114.107.2.156:2000/rtp/238.1.78.188:7376
马鞍山新闻综合,http://114.107.2.156:2000/rtp/238.1.79.15:4232
马鞍山科教生活,http://114.107.2.156:2000/rtp/238.1.78.77:6488
安庆新闻综合,http://114.107.2.156:2000/rtp/238.1.78.117:6808
安庆经济生活,http://114.107.2.156:2000/rtp/238.1.78.118:6816
潜山综合频道,http://114.107.2.156:2000/rtp/238.1.78.192:7408
黄山区融媒,http://114.107.2.156:2000/rtp/238.1.78.199:7464
歙县综合频道,http://114.107.2.156:2000/rtp/238.1.78.200:7472
休宁新闻综合,http://114.107.2.156:2000/rtp/238.1.79.20:4272
黟县新闻综合,http://114.107.2.156:2000/rtp/238.1.78.149:7064
宣城综合频道,http://114.107.2.156:2000/rtp/238.1.78.142:7008
宣城文旅生活,http://114.107.2.156:2000/rtp/238.1.78.143:7016
广德新闻综合,http://114.107.2.156:2000/rtp/238.1.78.212:7568
广德生活频道,http://114.107.2.156:2000/rtp/238.1.78.213:7576
郎溪新闻频道,http://114.107.2.156:2000/rtp/238.1.78.214:7584
宁国新闻综合,http://114.107.2.156:2000/rtp/238.1.78.216:7600
铜陵新闻综合,http://114.107.2.156:2000/rtp/238.1.78.139:6984
铜陵教育科技,http://114.107.2.156:2000/rtp/238.1.78.141:7000
枞阳电视台,http://114.107.2.156:2000/rtp/238.1.78.210:7552
霍山综合频道,http://114.107.2.156:2000/rtp/238.1.78.220:7632
金寨综合频道,http://114.107.2.156:2000/rtp/238.1.79.21:4280
濉溪新闻频道,http://114.107.2.156:2000/rtp/238.1.78.209:7544
宿州新闻综合,http://114.107.2.156:2000/rtp/238.1.78.121:6840
宿州公共频道,http://114.107.2.156:2000/rtp/238.1.78.122:6848
宿州科教频道,http://114.107.2.156:2000/rtp/238.1.78.123:6856
萧县新闻综合,http://114.107.2.156:2000/rtp/238.1.79.46:4480
五河新闻综合,http://114.107.2.156:2000/rtp/238.1.79.52:4528
固镇新闻综合,http://114.107.2.156:2000/rtp/238.1.79.47:4488
界首综合频道,http://114.107.2.156:2000/rtp/238.1.78.195:7432
利辛新闻综合,http://114.107.2.156:2000/rtp/238.1.78.196:7440
涡阳新闻综合,http://114.107.2.156:2000/rtp/238.1.78.197:7448
安徽电信-组播2,#genre#
江苏电信-组播1,#genre#

江苏卫视,http://58.212.239.61:10001/rtp/239.49.8.138:6000
江苏城市频道,http://58.212.239.61:10001/rtp/239.49.8.107:8000
江苏综艺频道,http://58.212.239.61:10001/rtp/239.49.8.108:8000
江苏体育休闲,http://58.212.239.61:10001/rtp/239.49.8.117:8000
江苏影视频道,http://58.212.239.61:10001/rtp/239.49.8.118:8000
江苏优漫卡通,http://58.212.239.61:10001/rtp/239.49.8.119:8000
江苏新闻频道,http://58.212.239.61:10001/rtp/239.49.8.120:8000
江苏教育频道,http://58.212.239.61:10001/rtp/239.49.8.122:8000
江苏国际频道,http://58.212.239.61:10001/rtp/239.49.1.23:6000
江苏财富天下,http://58.212.239.61:10001/rtp/239.49.1.29:6000
CCTV-1综合,http://58.212.239.61:10001/rtp/239.49.8.129:6000
CCTV-2财经,http://58.212.239.61:10001/rtp/239.49.8.130:6000
CCTV-3综艺,http://58.212.239.61:10001/rtp/239.49.1.3:6000
CCTV-4中文国际,http://58.212.239.61:10001/rtp/239.49.8.131:6000
CCTV-5体育,http://58.212.239.61:10001/rtp/239.49.1.5:6000
CCTV-5+体育赛事,http://58.212.239.61:10001/rtp/239.49.8.18:9610
CCTV-6电影,http://58.212.239.61:10001/rtp/239.49.1.6:6000
CCTV-7国防军事,http://58.212.239.61:10001/rtp/239.49.1.254:6000
CCTV-8电视剧,http://58.212.239.61:10001/rtp/239.49.1.8:6000
CCTV-9纪录,http://58.212.239.61:10001/rtp/239.49.8.53:9814
CCTV-10科教,http://58.212.239.61:10001/rtp/239.49.8.134:6000
CCTV-11戏曲,http://58.212.239.61:10001/rtp/239.49.1.11:6000
CCTV-12社会与法,http://58.212.239.61:10001/rtp/239.49.8.135:6000
CCTV-13新闻,http://58.212.239.61:10001/rtp/239.49.1.13:6000
CCTV-14少儿,http://58.212.239.61:10001/rtp/239.49.8.136:6000
CCTV-15音乐,http://58.212.239.61:10001/rtp/239.49.1.15:6000
CCTV-17农业农村,http://58.212.239.61:10001/rtp/239.49.8.132:6000
浙江卫视,http://58.212.239.61:10001/rtp/239.49.8.139:6000
东方卫视,http://58.212.239.61:10001/rtp/239.49.8.140:6000
北京卫视,http://58.212.239.61:10001/rtp/239.49.8.141:6000
湖南卫视,http://58.212.239.61:10001/rtp/239.49.8.142:6000
广东卫视,http://58.212.239.61:10001/rtp/239.49.8.143:6000
深圳卫视,http://58.212.239.61:10001/rtp/239.49.8.145:6000
山东卫视,http://58.212.239.61:10001/rtp/239.49.8.146:6000
湖北卫视,http://58.212.239.61:10001/rtp/239.49.8.147:6000
天津卫视,http://58.212.239.61:10001/rtp/239.49.8.148:6000
河北卫视,http://58.212.239.61:10001/rtp/239.49.8.188:6000
安徽卫视,http://58.212.239.61:10001/rtp/239.49.8.204:6000
江西卫视,http://58.212.239.61:10001/rtp/239.49.8.185:6000
