江苏电信-组播1,#genre#
CCTV-2财经,http://117.86.51.212:7777/rtp/239.49.8.50:9802
CCTV-10科教,http://117.86.51.212:7777/rtp/239.49.8.54:9818
CCTV-12社会与法,http://117.86.51.212:7777/rtp/239.49.8.55:9822
CCTV-14少儿,http://117.86.51.212:7777/rtp/239.49.8.56:9826
CCTV-17农业农村,http://117.86.51.212:7777/rtp/239.49.8.52:9810
江苏卫视,http://117.86.51.212:7777/rtp/239.49.8.16:9602
湖南卫视,http://117.86.51.212:7777/rtp/239.49.8.12:9418
浙江卫视,http://117.86.51.212:7777/rtp/239.49.8.20:9618
北京卫视,http://117.86.51.212:7777/rtp/239.49.8.11:9414
东方卫视,http://117.86.51.212:7777/rtp/239.49.8.17:9606
广东卫视,http://117.86.51.212:7777/rtp/239.49.8.13:9422
山东卫视,http://117.86.51.212:7777/rtp/239.49.8.7:9306
深圳卫视,http://117.86.51.212:7777/rtp/239.49.8.15:9430
重庆卫视,http://117.86.51.212:7777/rtp/239.49.8.57:9830
辽宁卫视,http://117.86.51.212:7777/rtp/239.49.8.48:8000
黑龙江卫视,http://117.86.51.212:7777/rtp/239.49.8.14:9426
湖北卫视,http://117.86.51.212:7777/rtp/239.49.8.8:9632
天津卫视,http://117.86.51.212:7777/rtp/239.49.8.35:8620
