# 安徽电信 IP速度测试结果 - 有效IP 7/8
# 测试时间: 2026-01-14 01:52:23
# IP:端口 速度 连接时间(ms)
183.164.63.172:5000 85.3KB/s (ping:263ms)
117.64.102.164:4022 85.0KB/s (ping:263ms)
60.172.83.116:4000 79.8KB/s (ping:235ms)
114.107.47.79:8443 79.5KB/s (ping:241ms)
114.107.46.150:8443 74.6KB/s (ping:240ms)
114.100.31.247:8443 72.9KB/s (ping:231ms)
36.56.125.1:8443 2.6KB/s (ping:231ms)

# 失败统计 (1个):
# 36.5.87.61:8686 - 链接超时
